mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/per_kernel/kyber1024_keydist_class0_n100000_per_kernel.csv
Class 1 CSV: experiments/traces/per_kernel/kyber1024_keydist_class1_n100000_per_kernel.csv
Kernels analysed: 27
Kernels leaking (|t|>=4.5): 0

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     decode_t                      2.18     8.828     8.734    -0.095   2.95e-02
2     hash_ct                       2.16    81.524    81.443    -0.081   3.06e-02
3     hash_coin                     2.07    15.564    15.490    -0.074   3.80e-02
4     intt_su                       1.94     9.971     9.907    -0.064   5.28e-02
5     ar_plus_e1                    1.65     8.253     8.317    +0.064   9.96e-02
6     v_minus_su                    1.57     8.091     8.147    +0.056   1.17e-01
7     intt_tr                       1.36     9.896     9.845    -0.051   1.73e-01
8     fwdntt_u                      1.35     9.471     9.515    +0.044   1.78e-01
9     compress_v                    0.85     8.377     8.410    +0.033   3.94e-01
10    generate_e1                   0.76    15.823    15.850    +0.027   4.50e-01
11    decompress_u                  0.72     9.395     9.359    -0.036   4.69e-01
12    generate_r                    0.67    15.554    15.575    +0.022   5.03e-01
13    fwdntt_r                      0.54    10.652    10.628    -0.024   5.91e-01
14    poly_tomsg                    0.47     8.129     8.111    -0.017   6.36e-01
15    compress_u                    0.40     8.414     8.399    -0.015   6.89e-01
16    t_times_r                     0.35     8.330     8.317    -0.013   7.28e-01
17    poly_frommsg                  0.34     8.251     8.238    -0.013   7.36e-01
18    generate_at                   0.32    28.910    28.921    +0.012   7.48e-01
19    intt_ar                       0.26    10.102    10.112    +0.009   7.98e-01
20    a_times_r                     0.20     8.663     8.656    -0.007   8.43e-01
21    decode_s                      0.19     8.210     8.203    -0.007   8.47e-01
22    decompress_v                  0.12     8.237     8.241    +0.004   9.08e-01
23    kdf                           0.10    15.532    15.536    +0.004   9.20e-01
24    verify_cmov                   0.07    11.633    11.636    +0.002   9.41e-01
25    generate_e2                   0.03    15.559    15.558    -0.001   9.79e-01
26    s_times_u                     0.02     8.084     8.085    +0.001   9.82e-01
27    tr_plus_e2_plus_m             0.01     8.193     8.194    +0.000   9.92e-01
