mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/per_kernel/kyber1024_class0_n100000_per_kernel.csv
Class 1 CSV: experiments/traces/per_kernel/kyber1024_class1_n100000_per_kernel.csv
Kernels analysed: 27
Kernels leaking (|t|>=4.5): 7

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     generate_at                   8.96    62.971    62.426    -0.545   3.35e-19 *** LEAK
2     hash_ct                       7.24   198.257   196.323    -1.934   4.58e-13 *** LEAK
3     hash_coin                     5.89    28.597    28.331    -0.266   3.91e-09 *** LEAK
4     generate_e2                   5.64    28.556    28.288    -0.268   1.69e-08 *** LEAK
5     generate_r                    5.52    29.794    29.535    -0.259   3.38e-08 *** LEAK
6     generate_e1                   4.99    29.670    29.435    -0.235   6.01e-07 *** LEAK
7     v_minus_su                    4.64    10.540    10.329    -0.211   3.56e-06 *** LEAK
8     kdf                           4.17    29.006    28.805    -0.201   3.00e-05
9     intt_ar                       3.48    15.366    15.211    -0.155   5.05e-04
10    verify_cmov                   2.87    19.791    19.647    -0.143   4.13e-03
11    fwdntt_u                      2.80    14.057    13.927    -0.129   5.04e-03
12    tr_plus_e2_plus_m             2.64    10.425    10.303    -0.122   8.18e-03
13    intt_tr                       2.30    14.970    14.863    -0.108   2.12e-02
14    intt_su                       1.71    15.140    15.062    -0.078   8.73e-02
15    t_times_r                     1.08    10.920    10.869    -0.051   2.82e-01
16    fwdntt_r                      1.06    14.100    14.049    -0.051   2.91e-01
17    ar_plus_e1                    1.03    10.382    10.431    +0.049   3.04e-01
18    poly_frommsg                  1.01    10.535    10.487    -0.048   3.13e-01
19    decompress_u                  0.93    10.840    10.885    +0.045   3.54e-01
20    compress_u                    0.78    10.915    10.952    +0.037   4.37e-01
21    decode_s                      0.70    10.586    10.620    +0.034   4.82e-01
22    compress_v                    0.67    10.856    10.824    -0.032   5.01e-01
23    s_times_u                     0.46    10.816    10.794    -0.022   6.42e-01
24    poly_tomsg                    0.38    10.618    10.601    -0.017   7.07e-01
25    a_times_r                     0.30    11.536    11.550    +0.015   7.66e-01
26    decompress_v                  0.28    10.637    10.623    -0.014   7.77e-01
27    decode_t                      0.06    10.640    10.643    +0.003   9.56e-01
