timestamp_us,wall_us,gpu_us
21.654,5214.981,5090.304
5262.332,4821.555,4674.560
10097.671,5374.189,5220.352
15488.245,4976.409,4911.104
20478.628,5085.661,4951.040
25586.342,6043.570,5914.624
31642.173,5444.263,5235.712
37097.551,4846.993,4685.824
41958.102,4913.409,4754.432
46880.941,5409.795,5243.904
52300.987,4631.930,4495.360
56942.489,4830.083,4671.488
61779.963,5132.274,4968.448
66917.063,4888.163,4743.168
71814.130,4816.074,4675.584
76635.647,5173.792,5028.864
81813.300,5101.460,4923.392
86926.427,5002.493,4680.704
92679.651,5137.984,4981.760
97822.711,5213.407,5173.248
103049.916,5611.358,5463.040
108694.064,5229.843,4959.232
113937.840,5188.392,4978.688
119139.124,5830.630,5657.600
124996.339,5389.293,5193.728
130398.550,5944.000,5864.352
136354.530,4930.642,4865.024
141299.410,4959.299,4804.608
146267.427,6116.619,5947.392
152435.784,5140.474,4982.784
157579.923,5142.863,4958.208
162727.917,4933.562,4782.080
167676.870,6077.183,5943.296
173766.474,5205.891,4956.160
178989.846,6207.767,5985.280
185214.242,5084.596,4915.200
190575.066,5059.911,4878.336
195639.404,5143.221,4977.664
200785.491,5886.665,5733.376
206691.536,4846.961,4698.112
211552.537,5213.721,5072.896
216770.143,5858.266,5686.272
222659.595,5442.499,4883.456
228116.485,5227.518,5083.136
233356.300,5059.943,4923.392
238428.696,4752.216,4680.704
243190.458,5155.344,4999.168
248355.571,5112.216,4927.488
253477.943,4838.590,4702.208
258320.196,5168.948,4990.976
263501.672,5257.102,5102.592
268772.035,4739.622,4687.872
273514.474,4615.520,4466.688
278376.134,5150.116,5025.792
283535.108,4870.673,4712.448
288412.130,4806.227,4642.816
293224.550,5128.733,4959.232
298364.252,5080.572,4945.920
303452.438,4871.114,4647.936
308329.676,5170.022,5001.216
313511.195,5100.976,4967.424
318618.910,4897.570,4685.824
323525.503,5268.032,5080.064
328808.585,5131.333,4975.616
333950.890,5032.636,4691.968
338992.900,5084.465,4904.960
344088.646,5208.379,5053.440
349301.764,5169.281,4960.256
354473.369,4879.733,4651.008
359362.294,5191.602,5003.264
364562.372,5124.181,4992.000
369950.964,4834.739,4703.232
374796.710,4880.685,4741.120
379685.444,5092.281,4950.016
384784.481,4873.338,4682.752
389665.600,4816.938,4654.080
394490.439,5285.247,5054.464
399781.572,4838.456,4674.560
404626.661,4917.962,4836.352
409553.421,5186.081,5044.224
414749.519,5134.889,4973.568
419893.323,4847.309,4711.424
424745.846,5103.692,4956.160
429859.387,5178.914,5051.392
435055.049,5757.244,5456.896
440832.867,5065.696,4922.368
445909.336,5221.884,4968.448
451143.435,4867.975,4731.904
