==PROF== Connected to process 363 (/workspace/mlkem-gpu-sec/baseline/atpqc-cuda/target/trace_kyber512.out)
# mlkem-gpu-sec Phase 2 timing traces
# variant: Kyber-512
# class: 0 (valid)
# n_traces: 1
# unit: microseconds
timing_us
1471610.875000
==PROF== Disconnected from process 363
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","16640"
"0","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3904"
"0","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","18295"
"1","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","19328"
"1","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","20096"
"1","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","34355.10"
"2","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","55296"
"2","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","9024"
"2","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","24761.50"
"3","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","16896"
"3","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","9024"
"3","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","24837.90"
"4","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","17536"
"4","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3072"
"4","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","7144.30"
"5","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","16","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","9856"
"5","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","16","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3072"
"5","363","trace_kyber512.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","16","(64, 2, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","7276"
"6","363","trace_kyber512.out","127.0.0.1","void arithmetic_mt::mattimesvec_tomont_plusvec<2>(short2 *, const short2 *, const short2 *, const short2 *)","1","14","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","11520"
"6","363","trace_kyber512.out","127.0.0.1","void arithmetic_mt::mattimesvec_tomont_plusvec<2>(short2 *, const short2 *, const short2 *, const short2 *)","1","14","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","5376"
"6","363","trace_kyber512.out","127.0.0.1","void arithmetic_mt::mattimesvec_tomont_plusvec<2>(short2 *, const short2 *, const short2 *, const short2 *)","1","14","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","4220.70"
"7","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","15","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","4096"
"7","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","15","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3328"
"7","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","15","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","3325.50"
"8","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","14","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","13696"
"8","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","14","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3328"
"8","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_tobytes<2>(unsigned char *, unsigned long, const short2 *, unsigned int)","1","14","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","3386.80"
"9","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","18","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","63360"
"9","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","18","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","16160"
"9","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","18","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","55741.90"
"10","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","15360"
"10","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3872"
"10","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","17323.70"
"11","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","22","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","34688"
"11","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","22","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","16160"
"11","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<256>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","22","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","55402.70"
"12","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","16512"
"12","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","4160"
"12","363","trace_kyber512.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","17364.90"
"13","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_frombytes<2>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","23","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","4736"
"13","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_frombytes<2>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","23","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","3328"
"13","363","trace_kyber512.out","127.0.0.1","void endecode_mt::polyvec_frombytes<2>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","23","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","3326.70"
"14","363","trace_kyber512.out","127.0.0.1","endecode_mt::poly_frommsg(short2 *, const unsigned char *, unsigned long, unsigned int)","1","24","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","3584"
"14","363","trace_kyber512.out","127.0.0.1","endecode_mt::poly_frommsg(short2 *, const unsigned char *, unsigned long, unsigned int)","1","24","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","2080"
"14","363","trace_kyber512.out","127.0.0.1","endecode_mt::poly_frommsg(short2 *, const unsigned char *, unsigned long, unsigned int)","1","24","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","3308.40"
"15","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 1>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","25","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29184"
"15","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 1>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","25","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","20096"
"15","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::genmatrix<2, 1>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","25","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","34272.70"
"16","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","61568"
"16","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes.sum","byte","9024"
"16","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 3>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","21","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","24984.70"
"17","363","trace_kyber512.out","127.0.0.1","void genpoly_warp::gennoise<2, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","26","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","16384"
