==PROF== Connected to process 65796 (/workspace/mlkem-gpu-sec/baseline/atpqc-cuda/target/ncu_hashct_kyber1024.out)
==PROF== Disconnected from process 65796
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16640"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","48"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","2"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","539"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","519"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","880"
"0","65796","ncu_hashct_kyber1024.out","127.0.0.1","void fips202_ws::sha3<512>(unsigned char *, unsigned long, const unsigned char *, unsigned long, unsigned long, unsigned int)","1","14","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","63"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","19712"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","1232"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","256"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","2165"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","616"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","1986"
"1","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::genmatrix<4, 0>(short2 *, const unsigned char *, unsigned long, unsigned int)","1","14","(32, 4, 1)","(4, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","653"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16384"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","116"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","64"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","634"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","512"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","855"
"2","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","15","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","173"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16384"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","116"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","64"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","630"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","512"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","854"
"3","65796","ncu_hashct_kyber1024.out","127.0.0.1","void genpoly_warp::gennoise<4, 2>(short2 *, const unsigned char *, unsigned long, unsigned int, unsigned char)","1","16","(32, 4, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","173"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","10880"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","128"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","64"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","625"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","341"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","775"
"4","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","15","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","77"
"5","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","16","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","10880"
"5","65796","ncu_hashct_kyber1024.out","127.0.0.1","ntt_ctgs_64t::fwdntt(short2 *, unsigned int)","1","16","(64, 2, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
