mlkem-gpu-sec Per-Kernel TVLA Report
============================================================
Class 0 CSV: experiments/traces/l2thrash/kyber1024_interleaved_class0_n100000.csv
Class 1 CSV: experiments/traces/l2thrash/kyber1024_interleaved_class1_n100000.csv
Kernels analysed: 28
Kernels leaking (|t|>=4.5): 5

Rank  Kernel                         |t|     Mean0     Mean1      Diff          p
--------------------------------------------------------------------------------
1     ar_plus_e1                    8.09    11.147    11.746    +0.599   6.14e-16 *** LEAK
2     hash_ct                       7.61    49.986    50.426    +0.439   2.69e-14 *** LEAK
3     decompress_v                  6.21    12.456    11.999    -0.457   5.40e-10 *** LEAK
4     hash_coin                     5.80    16.685    16.296    -0.389   6.46e-09 *** LEAK
5     generate_e2                   4.67    15.395    15.727    +0.332   3.04e-06 *** LEAK
6     kdf                           4.48    15.629    15.940    +0.311   7.63e-06
7     decompress_u                  4.31    17.813    17.409    -0.403   1.64e-05
8     total_decaps                  3.07   419.957   417.441    -2.516   2.11e-03
9     generate_r                    2.47    15.620    15.460    -0.160   1.35e-02
10    fwdntt_r                      2.30    12.920    12.756    -0.164   2.16e-02
11    intt_su                       1.98    13.015    12.880    -0.135   4.73e-02
12    a_times_r                     1.82    11.401    11.277    -0.124   6.82e-02
13    generate_e1                   1.78    15.500    15.617    +0.117   7.43e-02
14    fwdntt_u                      1.57    12.672    12.565    -0.107   1.17e-01
15    decode_t                      1.41    11.308    11.211    -0.098   1.58e-01
16    poly_frommsg                  1.36    11.284    11.382    +0.098   1.74e-01
17    compress_v                    1.35    11.177    11.269    +0.092   1.78e-01
18    poly_tomsg                    1.19    11.430    11.517    +0.087   2.36e-01
19    v_minus_su                    1.18    11.297    11.214    -0.083   2.39e-01
20    decode_s                      0.89    11.473    11.411    -0.063   3.73e-01
21    intt_tr                       0.78    12.476    12.529    +0.053   4.37e-01
22    intt_ar                       0.53    13.098    13.134    +0.036   5.95e-01
23    s_times_u                     0.46    11.461    11.428    -0.032   6.46e-01
24    tr_plus_e2_plus_m             0.43    11.164    11.134    -0.030   6.65e-01
25    t_times_r                     0.21    11.232    11.246    +0.014   8.36e-01
26    verify_cmov                   0.20    14.867    14.854    -0.013   8.45e-01
27    generate_at                   0.09    22.937    22.931    -0.006   9.26e-01
28    compress_u                    0.02    11.265    11.264    -0.001   9.88e-01
