gpu_us,wall_us
598.016052,693.437500
599.039978,770.765625
596.992004,777.636719
598.016052,780.339844
598.016052,779.328125
598.079956,770.566406
596.992004,778.625000
595.968018,777.625000
598.016052,777.335938
598.016052,777.535156
598.016052,777.382812
596.992004,782.753906
598.016052,774.121094
598.016052,771.253906
598.016052,778.394531
596.992004,779.898438
597.024048,778.878906
599.039978,780.203125
598.016052,778.296875
598.016052,779.804688
598.112000,780.031250
599.039978,778.964844
598.016052,777.433594
596.992004,778.574219
598.016052,778.277344
598.016052,778.066406
598.016052,779.855469
598.016052,777.707031
598.016052,778.015625
596.992004,776.472656
598.016052,777.695312
599.039978,779.796875
596.992004,778.246094
599.039978,779.378906
599.039978,778.988281
599.039978,780.210938
596.992004,777.925781
596.992004,777.988281
598.016052,780.210938
598.016052,779.609375
599.039978,779.156250
596.992004,778.117188
596.992004,777.925781
598.016052,781.031250
598.016052,778.425781
599.039978,778.929688
598.016052,779.109375
599.039978,781.132812
596.992004,777.695312
598.016052,779.371094
598.016052,778.847656
598.016052,780.429688
599.039978,778.335938
596.992004,777.855469
596.992004,776.863281
598.016052,780.109375
598.016052,777.968750
598.016052,777.933594
598.016052,779.519531
596.992004,779.828125
598.016052,778.714844
596.992004,778.023438
596.992004,777.636719
598.016052,779.980469
598.016052,778.625000
598.016052,778.175781
598.016052,777.445312
596.992004,779.789062
596.992004,778.136719
598.016052,779.027344
599.039978,779.648438
596.992004,779.226562
596.992004,778.578125
596.992004,778.585938
598.016052,779.308594
597.119995,780.218750
598.016052,779.160156
596.992004,779.007812
598.112000,778.757812
598.016052,780.179688
598.016052,777.984375
598.016052,779.359375
598.016052,777.488281
598.016052,780.660156
596.992004,778.148438
599.039978,780.007812
596.992004,777.437500
598.016052,780.191406
598.016052,779.226562
599.039978,779.488281
598.016052,779.335938
596.992004,779.007812
596.992004,778.246094
598.016052,779.089844
599.039978,779.867188
598.016052,780.429688
598.016052,777.796875
599.039978,779.804688
598.016052,778.167969
598.016052,780.109375
598.047974,779.191406
598.016052,778.839844
598.016052,777.722656
598.016052,780.128906
598.047974,779.910156
596.992004,777.585938
596.992004,777.816406
596.992004,780.277344
598.016052,778.117188
598.016052,777.976562
596.992004,777.632812
599.039978,781.570312
596.992004,777.746094
598.016052,779.617188
598.016052,778.636719
598.016052,780.730469
598.016052,777.835938
598.016052,778.585938
596.992004,778.488281
598.016052,773.437500
598.143982,778.554688
596.992004,778.246094
596.992004,777.695312
598.016052,779.226562
598.016052,778.496094
598.016052,778.476562
596.992004,779.136719
599.039978,780.527344
598.016052,779.289062
598.016052,778.398438
596.992004,778.097656
599.039978,780.531250
597.024048,779.019531
599.039978,779.445312
598.016052,777.835938
598.016052,779.988281
598.016052,778.058594
599.039978,779.886719
598.016052,778.937500
596.992004,778.417969
598.016052,779.308594
599.039978,778.277344
598.016052,776.535156
598.047974,779.207031
596.992004,777.914062
597.024048,776.746094
599.039978,778.757812
598.016052,778.687500
598.016052,778.335938
598.016052,777.667969
596.992004,777.605469
599.039978,777.113281
598.016052,777.867188
598.016052,778.890625
598.016052,777.554688
596.992004,779.128906
598.016052,779.019531
596.992004,776.742188
599.104004,782.140625
598.016052,773.117188
596.992004,777.015625
598.016052,777.171875
599.039978,779.246094
596.992004,779.097656
596.992004,776.382812
596.992004,775.992188
598.016052,778.078125
598.016052,780.769531
598.016052,777.496094
599.039978,779.660156
598.016052,776.593750
598.016052,778.847656
599.039978,778.125000
598.016052,776.742188
598.016052,778.085938
596.992004,779.468750
598.016052,777.425781
598.016052,779.058594
599.039978,779.160156
599.039978,780.097656
598.016052,776.585938
597.087952,777.964844
599.039978,780.308594
599.039978,781.199219
596.992004,777.878906
598.016052,778.437500
596.992004,740.859375
598.016052,779.007812
596.992004,778.066406
598.112000,778.964844
597.087952,778.546875
598.016052,781.402344
598.016052,778.886719
598.016052,778.324219
596.992004,778.390625
598.016052,778.894531
596.992004,777.484375
598.016052,779.449219
599.039978,779.496094
596.992004,779.539062
596.992004,777.343750
598.016052,778.277344
596.992004,778.667969
598.016052,780.320312
597.024048,779.085938
598.016052,779.101562
596.992004,777.707031
598.016052,779.195312
600.063965,779.757812
599.039978,779.988281
599.039978,779.156250
598.016052,779.968750
596.992004,778.445312
598.016052,777.234375
596.992004,778.714844
598.016052,781.160156
597.151978,778.375000
598.112000,779.714844
598.016052,779.250000
598.016052,780.167969
599.039978,779.695312
595.968018,777.453125
598.016052,779.058594
599.039978,780.527344
598.016052,778.886719
596.992004,777.734375
598.016052,778.828125
598.016052,780.617188
596.992004,775.000000
599.039978,778.695312
598.016052,778.183594
598.016052,779.796875
599.039978,778.847656
598.016052,778.156250
598.079956,778.578125
599.039978,780.027344
598.016052,779.250000
599.039978,779.582031
596.992004,777.261719
598.016052,780.671875
598.016052,778.398438
598.016052,778.597656
596.992004,777.644531
599.039978,781.488281
598.016052,778.789062
598.143982,779.246094
599.039978,778.964844
596.992004,779.789062
596.992004,777.855469
598.016052,778.476562
596.992004,778.457031
596.992004,779.457031
599.039978,778.433594
598.016052,778.648438
596.992004,779.058594
599.039978,780.839844
598.016052,778.558594
599.039978,779.410156
599.039978,779.687500
598.016052,779.351562
596.992004,778.253906
596.992004,778.285156
596.992004,778.636719
598.016052,780.175781
596.992004,779.089844
598.016052,778.976562
599.039978,778.828125
598.016052,779.660156
598.016052,779.136719
596.992004,778.777344
598.047974,777.605469
599.039978,780.457031
596.992004,777.554688
596.992004,777.375000
598.016052,778.539062
598.016052,779.828125
596.992004,777.875000
599.039978,779.218750
598.079956,778.917969
598.016052,780.027344
599.039978,779.800781
598.016052,778.675781
599.039978,779.578125
599.039978,780.230469
599.039978,779.699219
599.039978,779.289062
598.016052,777.933594
596.992004,780.421875
596.992004,777.433594
598.016052,777.953125
596.992004,778.277344
596.992004,779.730469
599.039978,780.027344
596.992004,778.488281
598.016052,778.906250
598.016052,779.789062
599.039978,778.746094
598.016052,777.835938
597.087952,778.824219
598.016052,780.210938
596.992004,777.785156
599.039978,780.796875
596.992004,777.257812
